"Batch_id";"Production_date";"Product_ID";"Production_line";"Shift";"Planned_output_kg";"Actual_output_kg";"Waste_kg";"Operation_minutes"
"1013DT";"2025-03-29";10008;"Line 2";"AS";1776.3;1701.7;82.9;461
"1013TO";"2025-09-09";10012;"Line 1";"NS";1691.3;1527.0;172.7;435
"1015ED";"2025-07-09";10001;"Line 1";"DS";1155.7;1048.3;118.6;508
"1015KL";"2025-12-07";10017;"Line 3";"DS";2063.0;1850.8;222.8;526
"1015KO";"2025-02-28";10002;"Line 1";"DS";2071.5;2050.8;39.3;447
"1015MM";"2025-05-25";10002;"Line 1";"DS";1713.3;1534.1;187.3;399
"1015UZ";"2025-03-04";10001;"Line 1";"DS";1880.3;1782.9;106.7;386
"1016BA";"2025-03-17";10006;"Line 1";"DS";2150.1;2128.6;31.9;393
"1016EJ";"2025-10-05";10018;"Line 1";"AS";2052.6;1755.5;304.0;413
"1016JO";"2025-01-30";10004;"Line 2";"AS";1491.4;1392.0;116.3;373
"1017AR";"2025-08-17";10015;"Line 1";"AS";2236.2;2212.1;33.7;415
"1017HE";"2025-12-21";10003;"Line 1";"NS";1292.7;1166.6;140.1;341
"1017PY";"2025-11-15";10015;"Line 1";"AS";1760.4;1607.0;165.9;438
"1017ZF";"2025-08-25";10004;"Line 2";"DS";1252.5;1182.5;89.0;534
"1018GR";"2025-05-11";10008;"Line 2";"AS";1848.0;1732.2;126.5;397
"1018KU";"2025-02-26";10001;"Line 1";"DS";1783.8;1640.8;147.6;537
"1019JR";"2025-09-30";10009;"Line 1";"DS";1145.0;1133.5;27.7;413
"1020AB";"2025-09-19";10003;"Line 1";"NS";1276.4;1255.8;36.6;399
"1020XO";"2025-02-25";10008;"Line 2";"AS";2163.0;1858.5;320.5;357
"1020XR";"2025-12-11";10015;"Line 1";"NS";2168.3;2014.0;171.7;480
"1021HP";"2025-06-29";10020;"Line 2";"DS";1900.7;1773.2;142.6;421
"1022CZ";"2025-06-25";10018;"Line 1";"DS";1003.3;940.3;82.6;403
"1022EL";"2025-12-22";10007;"Line 3";"AS";1627.6;1550.1;81.2;387
"1022VH";"2025-04-21";10009;"Line 1";"NS";1767.6;1616.6;156.2;417
"1023KC";"2025-12-30";10019;"Line 3";"AS";1906.1;1646.2;270.2;384
"1023RY";"2025-02-07";10015;"Line 1";"DS";1132.6;1121.3;23.1;457
"1023SO";"2025-10-21";10015;"Line 1";"AS";2108.5;1828.6;288.6;340
"1023TL";"2025-06-13";10002;"Line 1";"AS";1118.3;1057.6;61.1;517
"1023XV";"2025-09-09";10012;"Line 1";"DS";1498.3;1483.3;29.7;400
"1024DN";"2025-12-02";10007;"Line 3";"AS";1845.8;1712.8;137.7;541
"1024FW";"2025-10-13";10016;"Line 2";"NS";974.1;854.8;127.1;500
"1024QF";"2025-01-03";10008;"Line 2";"DS";1859.7;1809.3;61.1;362
"1024VF";"2025-09-21";10015;"Line 1";"AS";1532.8;1383.4;165.0;497
"1025OO";"2025-03-11";10015;"Line 1";"AS";1985.4;1847.8;157.1;416
"1026FV";"2025-09-09";10011;"Line 2";"NS";2081.8;1885.7;201.2;370
"1026MS";"2025-05-07";10003;"Line 1";"DS";1752.4;1653.2;110.2;367
"1028UX";"2025-07-24";10011;"Line 2";"AS";1494.4;1399.1;105.6;482
"1028XN";"2025-12-06";10018;"Line 1";"DS";1706.3;1527.6;183.0;551
"1029DT";"2025-01-08";10008;"Line 2";"AS";1985.9;1908.6;89.8;378
"1029LI";"2025-11-06";10001;"Line 1";"NS";1263.7;1121.0;156.9;272
"1030SK";"2025-01-09";10012;"Line 1";"DS";1781.7;1604.5;194.8;451
"1031CS";"2025-02-02";10017;"Line 3";"AS";1310.2;1208.9;118.4;375
"1031IS";"2025-01-30";10015;"Line 1";"AS";1600.8;1502.9;111.7;507
"1031MM";"2025-08-15";10002;"Line 1";"NS";1853.9;1783.8;81.0;469
"1031TG";"2025-07-02";10001;"Line 1";"AS";1732.8;1533.0;210.6;411
"1031ZY";"2025-05-24";10014;"Line 2";"DS";2003.8;1797.0;207.2;292
"1032UJ";"2025-09-16";10003;"Line 1";"NS";1071.4;1034.1;56.5;544
"1033EM";"2025-02-07";10007;"Line 3";"DS";1421.7;1311.5;114.0;353
"1033ES";"2025-08-10";10007;"Line 3";"DS";1688.8;1561.7;136.1;384
"1033ME";"2025-11-16";10015;"Line 1";"DS";1617.3;1541.0;92.2;409
"1033ZG";"2025-09-06";10010;"Line 3";"AS";1820.6;1723.9;102.2;489
"1034FE";"2025-10-08";10014;"Line 2";"NS";2395.8;2086.5;312.2;416
"1034PK";"2025-02-14";10006;"Line 1";"AS";1519.6;1379.9;155.3;334
"1034PW";"2025-08-03";10009;"Line 1";"NS";1533.2;1412.6;133.7;384
"1034SE";"2025-07-29";10014;"Line 2";"DS";2325.4;2100.2;233.3;335
"1034UC";"2025-10-28";10012;"Line 1";"AS";1118.1;983.6;149.0;394
"1034XU";"2025-08-04";10016;"Line 2";"DS";2014.9;1858.7;170.1;462
"1035BR";"2025-03-19";10009;"Line 1";"AS";2087.8;1952.4;151.2;408
"1035GB";"2025-12-21";10017;"Line 3";"DS";1977.6;1825.2;167.6;395
"1035JW";"2025-01-24";10002;"Line 1";"NS";1349.3;1307.7;50.3;397
"1035LY";"2025-03-15";10002;"Line 1";"NS";1497.0;1346.1;155.7;376
"1035OH";"2025-03-17";10009;"Line 1";"NS";1466.1;1382.0;85.3;436
"1036DA";"2025-09-29";10001;"Line 1";"NS";1830.9;1678.5;160.2;361
"1036YG";"2025-05-17";10003;"Line 1";"DS";2436.5;2287.6;159.2;319
"1038QY";"2025-09-05";10002;"Line 1";"DS";1582.8;1463.1;133.2;391
"1038VP";"2025-06-28";10003;"Line 1";"NS";1763.0;1581.7;192.6;529
"1039LE";"2025-12-02";10003;"Line 1";"NS";1089.8;976.2;114.8;441
"1039LU";"2025-11-13";10002;"Line 1";"NS";2392.9;2271.0;124.9;537
"1039WG";"2025-10-02";10020;"Line 2";"DS";1551.4;1535.9;15.7;445
"1040CL";"2025-07-05";10009;"Line 1";"NS";1814.8;1640.6;174.3;414
"1040CY";"2025-10-18";10017;"Line 3";"DS";1966.5;1748.4;221.3;470
"1040EJ";"2025-08-22";10012;"Line 1";"DS";1878.9;1795.3;93.2;445
"1040JH";"2025-06-18";10008;"Line 2";"AS";1720.8;1636.7;95.0;366
"1040OW";"2025-05-08";10003;"Line 1";"DS";2375.4;2079.3;305.0;373
"1040ZO";"2025-07-28";10001;"Line 1";"AS";1826.0;1619.7;208.7;481
"1041QR";"2025-08-08";10015;"Line 1";"DS";2138.2;1974.7;175.9;464
"1042CQ";"2025-01-23";10001;"Line 1";"AS";2078.0;1951.1;138.1;428
"1043AT";"2025-12-31";10012;"Line 1";"NS";1641.7;1505.8;146.7;352
"1043JA";"2025-11-29";10001;"Line 1";"NS";1621.2;1458.4;166.1;509
"1043XZ";"2025-04-18";10017;"Line 3";"NS";1935.9;1798.4;154.9;323
"1044DF";"2025-08-18";10010;"Line 3";"DS";1478.9;1398.9;94.9;367
"1044LC";"2025-06-23";10002;"Line 1";"AS";1416.9;1278.3;156.3;416
"1044SX";"2025-10-30";10008;"Line 2";"DS";1577.0;1406.5;190.0;458
"1045CU";"2025-03-02";10003;"Line 1";"DS";1849.5;1718.6;141.4;452
"1045LV";"2025-10-04";10001;"Line 1";"NS";2425.2;2202.6;239.9;360
"1045MX";"2025-10-20";10020;"Line 2";"AS";1580.5;1564.7;27.5;534
"1045RK";"2025-05-13";10015;"Line 1";"NS";1234.4;1148.8;100.8;526
"1046AN";"2025-03-03";10001;"Line 1";"DS";1932.4;1905.7;38.0;478
"1046ZH";"2025-08-18";10010;"Line 3";"NS";1862.5;1709.3;157.3;414
"1047EC";"2025-01-25";10010;"Line 3";"NS";1804.5;1670.4;141.9;474
"1048DU";"2025-06-17";10010;"Line 3";"DS";1960.5;1780.3;180.6;460
"1048HR";"2025-07-15";10018;"Line 1";"DS";1755.7;1610.5;152.1;449
"1048JS";"2025-09-13";10010;"Line 3";"NS";1760.6;1538.9;224.4;390
"1049JG";"2025-04-20";10003;"Line 1";"DS";1256.1;1243.5;16.4;458
"1049OQ";"2025-05-22";10018;"Line 1";"DS";1730.2;1485.6;256.7;511
"1050ER";"2025-11-16";10009;"Line 1";"NS";1367.5;1332.5;52.5;409
"1050LY";"2025-07-18";10016;"Line 2";"AS";1516.8;1406.3;121.3;382
"1051FN";"2025-04-10";10003;"Line 1";"NS";1603.6;1522.5;82.9;452
"1051LL";"2025-09-17";10015;"Line 1";"NS";1721.0;1615.5;117.5;277
"1052BU";"2025-07-26";10005;"Line 2";"DS";1931.3;1770.4;174.2;421
"1053HT";"2025-05-22";10009;"Line 1";"AS";2233.7;2168.3;68.2;426
"1053RX";"2025-11-15";10006;"Line 1";"NS";1490.5;1387.2;105.5;414
"1053RY";"2025-02-05";10017;"Line 3";"DS";1179.1;1009.9;183.0;523
"1054MG";"2025-04-04";10007;"Line 3";"NS";1864.6;1711.1;172.6;454
"1054QD";"2025-12-23";10001;"Line 1";"DS";1807.0;1658.1;164.7;377
"1055AM";"2025-09-04";10004;"Line 2";"DS";1635.3;1434.6;202.2;502
"1055DK";"2025-07-30";10006;"Line 1";"AS";1476.4;1461.6;21.3;433
"1055EW";"2025-04-13";10008;"Line 2";"DS";1543.0;1415.7;136.7;459
"1055GW";"2025-10-09";10014;"Line 2";"DS";1396.5;1349.9;62.5;397
"1055OQ";"2025-03-16";10016;"Line 2";"AS";1841.3;1677.2;184.0;469
"1055TZ";"2025-07-17";10019;"Line 3";"DS";2326.6;2167.3;171.0;309
"1056IZ";"2025-12-06";10001;"Line 1";"AS";1619.2;1387.1;239.5;445
"1058GB";"2025-08-14";10002;"Line 1";"NS";1893.3;1727.8;173.7;366
"1058ZG";"2025-11-13";10007;"Line 3";"DS";2049.7;1932.8;117.8;520
"1059TO";"2025-06-04";10012;"Line 1";"NS";2301.7;2145.1;174.9;389
"1059ZQ";"2025-08-02";10005;"Line 2";"DS";1949.6;1821.2;146.9;368
"1060MY";"2025-04-01";10017;"Line 3";"DS";800.0;709.6;108.5;339
"1060RN";"2025-05-23";10002;"Line 1";"DS";1061.4;970.9;97.6;406
"1060VU";"2025-12-12";10015;"Line 1";"DS";1539.5;1418.0;127.7;470
"1061NI";"2025-06-22";10011;"Line 2";"AS";1690.8;1514.8;181.9;468
"1061TR";"2025-10-02";10007;"Line 3";"DS";2345.2;2237.8;113.7;429
"1061WR";"2025-12-06";10004;"Line 2";"DS";1852.8;1683.0;174.0;367
"1061XI";"2025-10-14";10009;"Line 1";"NS";1961.0;1941.4;21.8;439
"1062HY";"2025-11-11";10009;"Line 1";"AS";1203.5;1143.4;65.8;430
"1062OB";"2025-08-23";10018;"Line 1";"DS";2384.2;2193.1;205.5;422
"1063VQ";"2025-06-07";10003;"Line 1";"DS";1621.2;1467.8;161.1;374
"1064DX";"2025-01-17";10004;"Line 2";"AS";2189.9;2043.6;157.4;460
"1064IJ";"2025-09-21";10009;"Line 1";"AS";1110.0;1032.2;83.2;516
"1065FN";"2025-08-30";10010;"Line 3";"DS";1119.0;1012.0;113.4;478
"1066CE";"2025-01-10";10010;"Line 3";"DS";1687.7;1656.4;35.4;317
"1066DJ";"2025-02-09";10020;"Line 2";"DS";2299.8;2119.1;188.0;530
"1066MI";"2025-01-27";10010;"Line 3";"AS";1985.8;1798.9;191.4;329
"1066YC";"2025-02-19";10001;"Line 1";"AS";800.0;765.5;45.5;520
"1067FI";"2025-04-04";10002;"Line 1";"AS";1953.7;1845.6;126.4;466
"1067FU";"2025-03-05";10007;"Line 3";"AS";2086.2;2065.3;29.8;522
"1067RX";"2025-01-16";10003;"Line 1";"DS";1416.3;1323.3;104.5;387
"1067XT";"2025-10-06";10007;"Line 3";"DS";1949.3;1700.9;249.7;494
"1068CW";"2025-10-06";10007;"Line 3";"AS";1888.4;1792.0;99.4;435
"1068EK";"2025-05-22";10012;"Line 1";"DS";1863.9;1731.7;134.9;431
"1068KZ";"2025-01-31";10015;"Line 1";"DS";2175.6;1893.4;290.9;398
"1068OI";"2025-11-27";10001;"Line 1";"DS";1604.6;1423.9;195.1;481
"1068PO";"2025-03-03";10003;"Line 1";"AS";1645.4;1576.3;74.9;464
"1069CD";"2025-12-28";10001;"Line 1";"AS";1697.7;1491.5;221.0;491
"1069IU";"2025-12-19";10001;"Line 1";"AS";1663.1;1519.5;158.9;565
"1069KB";"2025-11-01";10006;"Line 1";"AS";2315.3;2292.1;35.1;410
"1069MH";"2025-09-02";10006;"Line 1";"DS";1663.7;1576.2;93.5;436
"1069XT";"2025-12-20";10010;"Line 3";"DS";1787.0;1743.2;59.7;492
"1071WU";"2025-12-19";10001;"Line 1";"NS";1823.9;1654.1;185.3;471
"1072BM";"2025-04-24";10001;"Line 1";"NS";1665.8;1629.6;47.2;417
"1072DD";"2025-10-22";10002;"Line 1";"NS";1687.5;1530.7;165.2;431
"1072HW";"2025-06-25";10009;"Line 1";"NS";1650.5;1534.0;119.9;476
"1073LC";"2025-08-01";10002;"Line 1";"DS";1469.7;1455.0;22.2;402
"1073QC";"2025-08-27";10002;"Line 1";"AS";1946.5;1927.0;36.2;390
"1073SX";"2025-01-26";10010;"Line 3";"NS";800.0;749.3;51.3;427
"1074AW";"2025-10-18";10019;"Line 3";"AS";1773.3;1539.7;242.4;377
"1075FQ";"2025-08-08";10010;"Line 3";"DS";1455.3;1398.7;68.0;453
"1075GP";"2025-12-14";10004;"Line 2";"DS";1994.4;1775.5;226.1;395
"1075RH";"2025-08-21";10004;"Line 2";"DS";1820.8;1752.1;73.0;500
"1076BN";"2025-02-17";10014;"Line 2";"DS";1778.9;1632.0;152.1;454
"1076HR";"2025-05-28";10012;"Line 1";"DS";1789.5;1771.6;37.0;413
"1076KZ";"2025-06-07";10009;"Line 1";"DS";1660.3;1541.6;132.2;331
"1076SJ";"2025-04-11";10009;"Line 1";"AS";1455.0;1251.9;217.1;424
"1077NC";"2025-08-05";10002;"Line 1";"DS";2034.1;1869.3;171.5;435
"1078MN";"2025-06-03";10004;"Line 2";"NS";1219.4;1093.7;129.2;406
"1078OA";"2025-03-16";10003;"Line 1";"DS";1377.4;1287.5;91.7;395
"1078TO";"2025-08-30";10007;"Line 3";"AS";1596.0;1580.0;23.4;470
"1078ZE";"2025-06-09";10011;"Line 2";"DS";2316.9;2107.6;220.3;452
"1079GN";"2025-12-22";10004;"Line 2";"AS";1590.0;1534.2;64.8;456
"1079HU";"2025-09-25";10012;"Line 1";"DS";1803.9;1640.8;166.3;445
"1079MB";"2025-07-24";10003;"Line 1";"DS";1718.2;1604.4;126.1;450
"1080BA";"2025-04-08";10005;"Line 2";"NS";1562.5;1402.1;166.8;416
"1080SC";"2025-06-29";10007;"Line 3";"NS";2014.4;1886.5;131.1;391
"1080XV";"2025-07-14";10020;"Line 2";"DS";1782.7;1649.1;146.1;596
"1081WE";"2025-10-04";10009;"Line 1";"AS";2134.2;2112.9;31.2;397
"1082TA";"2025-06-02";10019;"Line 3";"DS";1181.4;1043.4;154.6;384
"1083ZV";"2025-04-04";10001;"Line 1";"AS";1904.4;1885.4;26.6;299
"1084RT";"2025-08-17";10017;"Line 3";"DS";2089.6;1885.1;208.7;407
"1084XF";"2025-07-08";10004;"Line 2";"AS";2431.2;2205.0;232.6;380
"1085HO";"2025-10-19";10006;"Line 1";"NS";1999.2;1930.6;82.9;373
"1086UV";"2025-02-11";10018;"Line 1";"DS";1939.4;1851.4;107.2;470
"1086YV";"2025-01-13";10019;"Line 3";"DS";1460.5;1302.4;160.2;410
"1088KL";"2025-07-14";10010;"Line 3";"AS";1269.7;1185.0;104.2;541
"1089GY";"2025-11-13";10012;"Line 1";"NS";1843.5;1698.9;153.4;449
"1089RP";"2025-10-25";10020;"Line 2";"NS";2181.5;2008.9;190.8;420
"1089WE";"2025-04-03";10009;"Line 1";"DS";1724.0;1579.6;147.1;458
"1090EB";"2025-12-22";10016;"Line 2";"DS";1570.4;1398.7;180.3;400
"1090LQ";"2025-08-03";10003;"Line 1";"DS";1107.6;954.7;154.6;459
"1090XY";"2025-04-26";10004;"Line 2";"DS";1819.0;1646.0;183.5;415
"1091ZR";"2025-08-08";10003;"Line 1";"DS";1836.6;1638.0;199.1;443
"1092IR";"2025-10-01";10003;"Line 1";"DS";1632.9;1553.6;81.3;399
"1092XY";"2025-07-31";10002;"Line 1";"DS";1587.7;1492.9;105.3;439
"1093KD";"2025-06-13";10009;"Line 1";"AS";2513.7;2212.8;308.4;374
"1093RC";"2025-09-15";10020;"Line 2";"NS";1695.4;1576.1;120.1;457
"1093WT";"2025-07-27";10009;"Line 1";"AS";2104.5;2083.5;29.0;470
"1094CC";"2025-03-29";10002;"Line 1";"DS";1730.8;1585.0;161.8;383
"1094GQ";"2025-05-12";10011;"Line 2";"DS";2248.9;2226.4;32.9;496
"1094KI";"2025-08-20";10012;"Line 1";"AS";1800.3;1701.8;105.5;543
"1095CP";"2025-09-20";10001;"Line 1";"DS";1284.7;1127.1;174.2;454
"1095DS";"2025-06-16";10004;"Line 2";"AS";1188.1;1084.6;113.3;354
"1095HK";"2025-03-01";10001;"Line 1";"NS";1304.3;1219.1;89.0;443
"1096EX";"2025-11-07";10012;"Line 1";"DS";1961.5;1837.0;126.7;500
"1097FU";"2025-05-29";10019;"Line 3";"NS";1731.8;1615.7;131.3;433
"1097KT";"2025-10-17";10019;"Line 3";"DS";1917.8;1792.6;140.8;594
"1098JJ";"2025-09-30";10020;"Line 2";"DS";1313.6;1230.3;85.8;443
"1098TY";"2025-01-28";10001;"Line 1";"DS";1764.1;1631.2;140.8;477
"1098ZX";"2025-06-08";10009;"Line 1";"DS";1897.9;1786.3;127.8;445
"1099YK";"2025-10-11";10017;"Line 3";"DS";2309.4;2207.7;116.3;506
"1100JC";"2025-07-12";10018;"Line 1";"DS";1795.8;1584.0;229.3;419
"1100KZ";"2025-04-10";10001;"Line 1";"NS";1855.4;1707.2;158.4;512
"1102BR";"2025-06-02";10005;"Line 2";"DS";1599.8;1490.6;121.3;512
"1102LQ";"2025-12-27";10012;"Line 1";"AS";1646.7;1528.3;126.5;390
"1103QH";"2025-02-01";10004;"Line 2";"DS";2366.2;2238.9;140.0;369
"1103SB";"2025-12-03";10020;"Line 2";"DS";1765.3;1662.1;122.6;472
"1104FO";"2025-12-21";10016;"Line 2";"AS";1654.7;1610.0;51.6;350
"1104OH";"2025-10-26";10003;"Line 1";"DS";1821.8;1803.6;27.1;394
"1104WB";"2025-02-22";10008;"Line 2";"DS";1863.0;1736.4;132.6;452
"1105OW";"2025-02-22";10012;"Line 1";"DS";1841.4;1670.3;178.2;405
"1105QS";"2025-03-21";10020;"Line 2";"DS";1761.7;1653.8;126.5;377
"1105SR";"2025-11-06";10007;"Line 3";"DS";2083.6;1871.3;218.6;522
"1105VZ";"2025-12-27";10002;"Line 1";"DS";1802.1;1651.3;158.0;515
"1105YO";"2025-02-25";10008;"Line 2";"DS";1850.3;1560.8;298.1;413
"1106RP";"2025-01-23";10005;"Line 2";"NS";2236.0;2080.9;157.3;504
"1107RC";"2025-03-20";10002;"Line 1";"DS";1936.0;1869.2;70.7;310
"1107RQ";"2025-04-19";10019;"Line 3";"AS";2183.2;2064.6;126.3;486
"1107SQ";"2025-10-07";10012;"Line 1";"DS";2315.2;2115.2;211.7;444
"1107TF";"2025-03-16";10005;"Line 2";"DS";1717.8;1599.2;129.2;437
"1108AV";"2025-07-31";10002;"Line 1";"NS";1375.5;1264.6;118.8;290
"1108DY";"2025-11-11";10019;"Line 3";"DS";1891.4;1768.1;135.6;440
"1108GT";"2025-05-06";10016;"Line 2";"DS";2071.1;1846.6;226.2;444
"1108PE";"2025-09-24";10002;"Line 1";"DS";2131.8;2110.5;27.7;409
"1108XO";"2025-09-07";10012;"Line 1";"AS";1946.4;1753.0;203.0;384
"1109MC";"2025-09-03";10009;"Line 1";"AS";1724.2;1579.6;157.8;445
"1111LL";"2025-04-11";10004;"Line 2";"NS";1608.7;1470.8;155.1;420
"1111RU";"2025-04-29";10018;"Line 1";"NS";1702.7;1601.7;113.7;429
"1111ZQ";"2025-11-20";10009;"Line 1";"DS";2146.7;1840.5;321.5;459
"1112MG";"2025-10-12";10015;"Line 1";"DS";1650.0;1530.4;135.2;333
"1113DH";"2025-08-11";10006;"Line 1";"AS";1697.3;1578.8;122.2;343
"1113NE";"2025-12-07";10004;"Line 2";"AS";2119.0;1995.7;137.2;384
"1113YI";"2025-12-23";10003;"Line 1";"DS";1440.7;1385.5;65.2;345
"1114KV";"2025-07-28";10012;"Line 1";"DS";1960.4;1811.3;162.9;440
"1114SZ";"2025-02-09";10002;"Line 1";"AS";1557.2;1485.3;89.4;322
"1114ZO";"2025-10-27";10010;"Line 3";"NS";1421.4;1313.0;109.6;418
"1115VA";"2025-06-11";10007;"Line 3";"AS";2142.5;1964.1;187.5;404
"1115VJ";"2025-10-24";10005;"Line 2";"DS";1773.1;1615.8;175.6;387
"1115XT";"2025-10-16";10009;"Line 1";"AS";869.9;836.3;45.5;470
"1116WP";"2025-08-11";10004;"Line 2";"AS";2190.1;1979.5;229.0;418
"1118OZ";"2025-07-29";10001;"Line 1";"AS";2679.3;2611.5;82.1;448
"1118QM";"2025-11-10";10004;"Line 2";"DS";1910.5;1836.1;79.6;404
"1119PD";"2025-04-02";10012;"Line 1";"NS";1331.1;1302.4;34.1;518
"1120LZ";"2025-08-30";10011;"Line 2";"NS";1456.8;1442.2;30.4;394
"1120RD";"2025-09-03";10003;"Line 1";"AS";1205.7;1057.9;157.6;412
"1120YI";"2025-10-09";10002;"Line 1";"AS";1662.9;1449.6;222.9;449
"1121BT";"2025-03-19";10006;"Line 1";"DS";1671.8;1503.7;177.7;454
"1121QZ";"2025-11-24";10001;"Line 1";"DS";1229.8;1113.2;126.8;473
"1124CC";"2025-02-17";10009;"Line 1";"DS";2062.3;1931.4;136.7;409
"1124HI";"2025-06-02";10005;"Line 2";"DS";1539.0;1449.7;95.9;456
"1125OH";"2025-12-17";10012;"Line 1";"DS";1552.2;1455.6;116.5;386
"1125UU";"2025-07-21";10016;"Line 2";"DS";2520.0;2487.7;38.4;367
"1127OL";"2025-02-15";10010;"Line 3";"NS";2407.4;2302.6;105.2;537
"1127YN";"2025-01-12";10016;"Line 2";"AS";1794.8;1643.2;169.2;395
"1128LS";"2025-10-13";10015;"Line 1";"DS";2272.4;2039.2;248.2;414
"1128VG";"2025-03-14";10003;"Line 1";"DS";1711.9;1608.0;113.9;450
"1128ZE";"2025-10-20";10006;"Line 1";"DS";1638.6;1591.5;48.1;366
"1129DF";"2025-03-10";10005;"Line 2";"DS";2078.3;1914.4;164.0;488
"1129EZ";"2025-06-03";10006;"Line 1";"AS";1507.8;1285.6;236.4;392
"1129GJ";"2025-11-26";10002;"Line 1";"AS";1100.5;1052.8;52.9;457
"1129HP";"2025-10-24";10002;"Line 1";"DS";1678.8;1626.5;67.9;468
"1130UV";"2025-06-19";10004;"Line 2";"DS";973.1;907.0;69.9;518
"1130VC";"2025-12-14";10012;"Line 1";"DS";2287.4;2140.9;148.3;542
"1130XH";"2025-05-31";10009;"Line 1";"NS";1644.2;1557.2;101.1;436
"1131JA";"2025-03-22";10020;"Line 2";"AS";1701.8;1666.2;45.1;406
"1131OI";"2025-07-04";10006;"Line 1";"AS";2240.5;2075.5;167.3;293
"1131SB";"2025-12-20";10004;"Line 2";"DS";1207.4;1102.2;109.2;429
"1132XW";"2025-01-18";10010;"Line 3";"AS";1490.8;1382.1;112.1;334
"1133CH";"2025-09-16";10016;"Line 2";"AS";1201.6;1163.4;45.5;442
"1133FA";"2025-06-17";10009;"Line 1";"DS";1765.9;1513.5;269.5;411
"1133KI";"2025-11-24";10012;"Line 1";"AS";1887.6;1792.3;110.1;449
"1133SE";"2025-01-23";10006;"Line 1";"NS";1884.9;1723.9;171.8;445
"1134ZO";"2025-02-25";10003;"Line 1";"DS";1803.7;1660.2;145.9;450
"1135EH";"2025-01-06";10003;"Line 1";"DS";1248.2;1117.6;144.1;462
"1136AO";"2025-03-01";10001;"Line 1";"DS";1004.3;978.1;34.7;422
"1136WZ";"2025-08-28";10009;"Line 1";"DS";1551.8;1461.2;91.3;556
"1137IR";"2025-07-13";10013;"Line 3";"NS";1830.7;1740.2;108.3;293
"1137RE";"2025-04-07";10012;"Line 1";"DS";1819.9;1801.7;19.8;491
"1137SN";"2025-01-06";10001;"Line 1";"DS";1775.3;1584.6;200.5;424
"1138OB";"2025-10-28";10012;"Line 1";"AS";2298.5;2208.3;101.4;387
"1138VS";"2025-03-26";10003;"Line 1";"AS";1892.6;1790.0;112.0;426
"1139AL";"2025-07-30";10019;"Line 3";"AS";1491.3;1384.9;122.9;445
