"Downtime_id";"Batch_id";"Downtime_minutes";"Severity";"Reason"
96649;"7717GI";73;"Medium";"Packaging Issue"
28042;"1156RA";71;"Medium";"Sensor Fault"
72200;"1397RI";123;"High";"Power Failure"
36837;"1694WI";71;"Medium";"Power Failure"
97358;"3255TF";55;"Medium";"Cleaning"
93121;"2727KI";112;"High";"Cleaning"
51273;"2908QZ";66;"Medium";"Packaging Issue"
95504;"4335TI";93;"High";"Maintenance"
15243;"8895CP";33;"Low";"Machine Jam"
74257;"9721ZL";70;"Medium";"Cleaning"
85682;"7161FM";91;"Medium";"Machine Jam"
82598;"8506OX";11;"Low";"Cleaning"
36695;"2231TG";103;"Medium";"Cleaning"
61127;"2960EX";108;"Medium";"Packaging Issue"
63378;"5159BE";109;"Medium";"Packaging Issue"
74533;"8574AB";99;"High";"Power Failure"
72051;"2211BI";116;"Medium";"Maintenance"
44806;"3537IO";63;"Medium";"Cleaning"
56203;"5114IZ";286;"High";"Cleaning"
54221;"1154AO";219;"High";"Packaging Issue"
12181;"9092WT";120;"Medium";"Cleaning"
13568;"1893MQ";256;"High";"Sensor Fault"
24318;"4885JB";96;"Medium";"Sensor Fault"
49710;"6539VI";117;"Medium";"Packaging Issue"
66359;"2996HW";88;"Medium";"Maintenance"
81129;"8907MT";42;"Medium";"Sensor Fault"
88435;"1840VD";63;"Medium";"Machine Jam"
24760;"7322PO";37;"Low";"Material Shortage"
29452;"2158WV";89;"Medium";"Machine Jam"
74248;"4910OC";39;"Low";"Packaging Issue"
66419;"4605JH";281;"High";"Sensor Fault"
91118;"1033ES";72;"Medium";"Maintenance"
67015;"6272EQ";39;"Low";"Machine Jam"
37633;"4897YG";31;"Medium";"Maintenance"
15475;"4693RO";102;"Medium";"Sensor Fault"
61482;"5256YO";189;"High";"Packaging Issue"
40699;"5800SS";89;"Medium";"Packaging Issue"
77334;"2566FJ";8;"Low";"Cleaning"
91480;"9007DP";106;"Medium";"Material Shortage"
14495;"2369VO";223;"High";"Maintenance"
91913;"6013VL";14;"Low";"Packaging Issue"
32526;"4174LX";88;"Medium";"Packaging Issue"
76702;"2095ZL";81;"Medium";"Machine Jam"
25060;"1782NC";226;"High";"Sensor Fault"
92982;"9150XQ";118;"Medium";"Machine Jam"
81262;"3329UL";244;"High";"Machine Jam"
49479;"5018FI";77;"Medium";"Maintenance"
75332;"3743HR";100;"High";"Cleaning"
67892;"8682UT";192;"High";"Packaging Issue"
46151;"1106RP";43;"Low";"Machine Jam"
72224;"1315GW";164;"High";"Cleaning"
33590;"2331NS";235;"High";"Machine Jam"
12651;"3809NC";24;"Low";"Maintenance"
78316;"9507QV";108;"Medium";"Cleaning"
17632;"5032FQ";32;"Medium";"Maintenance"
19886;"1315XR";114;"Medium";"Packaging Issue"
45239;"1249BE";60;"Medium";"Sensor Fault"
52824;"5794QL";117;"Medium";"Cleaning"
76128;"5709KW";65;"Medium";"Machine Jam"
51759;"8861DU";119;"Medium";"Power Failure"
96214;"3467RU";28;"Low";"Packaging Issue"
83401;"3217JD";41;"Medium";"Machine Jam"
78917;"6825JJ";89;"Medium";"Packaging Issue"
53766;"1288OJ";37;"Medium";"Sensor Fault"
29806;"1007CB";98;"Medium";"Maintenance"
82268;"9585LU";118;"High";"Material Shortage"
81708;"6941OQ";35;"Low";"Machine Jam"
23348;"8745IE";91;"High";"Packaging Issue"
85760;"7592ZQ";258;"High";"Machine Jam"
18353;"1734VS";31;"Medium";"Cleaning"
48239;"5886SP";23;"Low";"Packaging Issue"
93420;"1507DF";262;"High";"Cleaning"
29315;"7810GQ";110;"Medium";"Machine Jam"
47641;"5458QF";16;"Low";"Maintenance"
51287;"8541YB";59;"Medium";"Machine Jam"
74499;"8373WU";8;"Low";"Machine Jam"
87421;"4444US";42;"Low";"Packaging Issue"
91490;"7830XZ";27;"Low";"Cleaning"
40270;"6018HM";61;"Medium";"Machine Jam"
87028;"9445WU";31;"Low";"Machine Jam"
15317;"8022HF";101;"Medium";"Sensor Fault"
98540;"3643AQ";62;"Medium";"Machine Jam"
58102;"7525TZ";27;"Low";"Maintenance"
13901;"9393WZ";16;"Low";"Cleaning"
35313;"8675HC";9;"Low";"Machine Jam"
17842;"2763RM";136;"High";"Machine Jam"
80293;"1745GC";124;"High";"Machine Jam"
17392;"4432OP";36;"Medium";"Cleaning"
46845;"2333YA";26;"Low";"Machine Jam"
20213;"6187UU";34;"Low";"Packaging Issue"
24541;"1235SE";113;"Medium";"Machine Jam"
64609;"4375CM";48;"Medium";"Maintenance"
14611;"7336GI";79;"Medium";"Machine Jam"
20356;"2723RB";10;"Low";"Machine Jam"
64364;"3466IH";25;"Low";"Cleaning"
90874;"4139YM";12;"Low";"Machine Jam"
20020;"8447GZ";7;"Low";"Sensor Fault"
76082;"9302SX";34;"Low";"Power Failure"
49891;"6129QS";42;"Medium";"Cleaning"
59039;"4654HJ";117;"Medium";"Machine Jam"
66525;"2529GU";47;"Medium";"Machine Jam"
12616;"5539NG";77;"Medium";"Maintenance"
67852;"3795OX";32;"Low";"Maintenance"
78746;"9884NE";72;"Medium";"Packaging Issue"
24832;"6750JY";95;"High";"Maintenance"
68833;"7471DO";86;"Medium";"Maintenance"
50368;"7433US";13;"Low";"Packaging Issue"
44469;"1121BT";84;"Medium";"Machine Jam"
17396;"2922ZR";279;"High";"Material Shortage"
32936;"1601BD";83;"Medium";"Sensor Fault"
27895;"3240GI";15;"Low";"Packaging Issue"
64749;"7823IB";188;"High";"Packaging Issue"
88030;"7153RL";134;"High";"Machine Jam"
92313;"9567DJ";98;"High";"Machine Jam"
15036;"2241KN";134;"High";"Machine Jam"
77837;"9546KO";81;"Medium";"Packaging Issue"
63971;"4261HS";80;"Medium";"Sensor Fault"
80478;"7882AK";16;"Low";"Maintenance"
18189;"1020AB";63;"Medium";"Maintenance"
24649;"8090AQ";106;"High";"Machine Jam"
73434;"8815QV";152;"Low";"Machine Jam"
24946;"2574UI";296;"High";"Packaging Issue"
85502;"9191BG";83;"Medium";"Machine Jam"
15679;"3811GE";38;"Medium";"Machine Jam"
91322;"9859YP";56;"Medium";"Cleaning"
89140;"6795NF";82;"Medium";"Packaging Issue"
64842;"4080EY";32;"Medium";"Cleaning"
83622;"9528LG";41;"Medium";"Sensor Fault"
93077;"1368MD";38;"Medium";"Maintenance"
29278;"9556GI";49;"Medium";"Machine Jam"
57541;"5935HA";24;"Low";"Cleaning"
74986;"6703LX";64;"Medium";"Maintenance"
79754;"2918ET";10;"Low";"Sensor Fault"
33228;"5070EO";138;"High";"Machine Jam"
23158;"5196GH";69;"Medium";"Cleaning"
73410;"9625XO";178;"High";"Packaging Issue"
53233;"1891VA";100;"Medium";"Material Shortage"
94279;"7336BQ";99;"Medium";"Machine Jam"
42266;"2999DR";29;"Low";"Machine Jam"
59977;"4438GJ";267;"High";"Packaging Issue"
29584;"3512ET";41;"Medium";"Sensor Fault"
27359;"1732CV";81;"Medium";"Material Shortage"
67539;"2766VJ";116;"Medium";"Maintenance"
58997;"7052ID";42;"Medium";"Packaging Issue"
39303;"7389KS";30;"Medium";"Sensor Fault"
51213;"9166NW";35;"Medium";"Machine Jam"
72123;"4806UZ";98;"Medium";"Sensor Fault"
59950;"3877YQ";55;"Medium";"Machine Jam"
41716;"7307LY";49;"Medium";"Packaging Issue"
41773;"7602TP";28;"Low";"Sensor Fault"
34269;"3911DS";103;"Medium";"Sensor Fault"
65695;"2747MA";66;"Medium";"Machine Jam"
55930;"8697VE";85;"Medium";"Packaging Issue"
25352;"1105QS";43;"Medium";"Cleaning"
25833;"1201KM";33;"Low";"Machine Jam"
25339;"8938PR";46;"Medium";"Machine Jam"
80684;"7267YV";39;"Medium";"Material Shortage"
28223;"8730SB";69;"Medium";"Machine Jam"
64824;"8972GL";148;"High";"Maintenance"
81322;"9541BL";73;"Medium";"Packaging Issue"
20418;"8861RH";45;"Medium";"Machine Jam"
44186;"3071PW";107;"Medium";"Material Shortage"
26000;"2402DQ";138;"High";"Sensor Fault"
44963;"1558LP";157;"High";"Packaging Issue"
27511;"9734ZF";53;"Medium";"Cleaning"
82280;"7586OU";141;"High";"Packaging Issue"
22193;"9927HW";69;"Medium";"Machine Jam"
70592;"3541SF";57;"Medium";"Packaging Issue"
27120;"6240YK";35;"Medium";"Machine Jam"
47362;"9510TW";113;"Medium";"Material Shortage"
40366;"6032NR";101;"Medium";"Packaging Issue"
24284;"8259JO";93;"High";"Sensor Fault"
68687;"1706FI";231;"High";"Machine Jam"
99843;"2084TP";100;"High";"Machine Jam"
52174;"6694WP";185;"High";"Cleaning"
33660;"7494RO";13;"Low";"Packaging Issue"
19588;"5711ZH";5;"Low";"Cleaning"
74019;"8368JW";217;"High";"Cleaning"
67264;"9894AX";6;"Low";"Sensor Fault"
57503;"6080TO";88;"Medium";"Machine Jam"
49091;"3349LS";102;"Medium";"Power Failure"
57385;"3090AH";76;"Medium";"Machine Jam"
32918;"9412WD";32;"Low";"Machine Jam"
54987;"9500GE";99;"Medium";"Material Shortage"
44417;"8650OL";36;"Low";"Sensor Fault"
58826;"3883ZQ";95;"Medium";"Maintenance"
16012;"9857DR";14;"Low";"Sensor Fault"
98697;"7306KR";57;"Medium";"Maintenance"
65240;"3093XG";81;"Medium";"Power Failure"
10423;"6405QP";100;"Medium";"Machine Jam"
20318;"4049ZT";89;"Medium";"Cleaning"
96458;"9891BP";90;"Medium";"Maintenance"
13597;"8083IR";28;"Low";"Machine Jam"
79204;"5938VL";89;"Medium";"Cleaning"
37212;"1478MS";33;"Low";"Maintenance"
35837;"1707GR";69;"Medium";"Packaging Issue"
39759;"8507QB";120;"Medium";"Packaging Issue"
68075;"7516VR";45;"Medium";"Packaging Issue"
23596;"3538LM";46;"Medium";"Machine Jam"
87414;"9164TI";43;"Medium";"Machine Jam"
39235;"9944JN";36;"Medium";"Machine Jam"
78869;"3177EE";37;"Low";"Machine Jam"
12126;"8562ZA";31;"Medium";"Machine Jam"
29197;"7701XB";31;"Medium";"Machine Jam"
90366;"8384ZW";106;"Medium";"Maintenance"
42900;"1512VB";144;"High";"Maintenance"
73841;"4789DU";181;"High";"Machine Jam"
86560;"9061JY";18;"Low";"Packaging Issue"
84479;"6877HI";18;"Low";"Packaging Issue"
72979;"2298AM";54;"Medium";"Packaging Issue"
86235;"3256YF";67;"Medium";"Cleaning"
79959;"7838IR";19;"Medium";"Maintenance"
37992;"1967SH";27;"Low";"Machine Jam"
41429;"8300ZE";41;"Medium";"Packaging Issue"
73286;"6538MJ";30;"Medium";"Sensor Fault"
33260;"7779CD";25;"Low";"Machine Jam"
85919;"5094KU";29;"Low";"Machine Jam"
61458;"7584VV";27;"Low";"Machine Jam"
55374;"2588XQ";62;"Medium";"Packaging Issue"
96112;"8008SL";39;"Medium";"Machine Jam"
71820;"9717KG";52;"Medium";"Packaging Issue"
12160;"9292IL";260;"High";"Sensor Fault"
95257;"8214WM";59;"Medium";"Cleaning"
16076;"9662HW";39;"Medium";"Machine Jam"
98047;"4877RG";288;"High";"Packaging Issue"
20894;"6644HE";118;"Medium";"Machine Jam"
16582;"9906BB";35;"Low";"Packaging Issue"
13692;"6789RF";45;"Medium";"Sensor Fault"
52712;"7957PF";255;"High";"Maintenance"
97866;"2081TY";100;"Medium";"Machine Jam"
69037;"2602FL";45;"Low";"Sensor Fault"
86449;"9499JN";75;"Medium";"Material Shortage"
47761;"3789PZ";144;"High";"Machine Jam"
84210;"2035WV";297;"High";"Cleaning"
67689;"9037BL";100;"Medium";"Maintenance"
89157;"3619GA";44;"Low";"Machine Jam"
16125;"7198HA";33;"Medium";"Packaging Issue"
16139;"6564PQ";29;"Low";"Packaging Issue"
21274;"3893WB";200;"High";"Sensor Fault"
70098;"2461JA";16;"Low";"Material Shortage"
52277;"4851QS";6;"Low";"Machine Jam"
88903;"5828PW";77;"Medium";"Packaging Issue"
44479;"6961NZ";151;"High";"Machine Jam"
84825;"7010RP";63;"Medium";"Sensor Fault"
56598;"4718CL";103;"Medium";"Machine Jam"
24387;"4895MP";115;"Medium";"Packaging Issue"
84453;"4955HU";28;"Low";"Packaging Issue"
21328;"5236FW";221;"High";"Machine Jam"
81524;"1830QJ";110;"Medium";"Cleaning"
30857;"5713RD";111;"Medium";"Sensor Fault"
51425;"6875LI";31;"Medium";"Maintenance"
23810;"9991NJ";117;"Medium";"Maintenance"
44360;"7777LV";26;"Low";"Power Failure"
83338;"2909FB";92;"High";"Machine Jam"
89568;"3000UC";233;"High";"Material Shortage"
85749;"8719JD";24;"Low";"Packaging Issue"
25351;"6963XB";29;"Low";"Sensor Fault"
87714;"8993PV";119;"High";"Sensor Fault"
13702;"4351KI";41;"Low";"Packaging Issue"
99987;"7738AS";96;"Medium";"Machine Jam"
11017;"5296MK";90;"High";"Machine Jam"
69649;"5781JK";36;"Low";"Machine Jam"
66212;"8692RE";115;"High";"Machine Jam"
67092;"9433MQ";40;"Low";"Machine Jam"
99532;"7030OE";98;"Medium";"Packaging Issue"
76025;"3884ZZ";57;"Medium";"Packaging Issue"
29053;"9249KE";101;"Medium";"Machine Jam"
19389;"2784ZX";116;"Medium";"Cleaning"
82905;"8011JL";101;"Medium";"Machine Jam"
59981;"1360WZ";7;"Low";"Sensor Fault"
68929;"3062TP";79;"Medium";"Material Shortage"
24530;"8305OK";111;"Medium";"Material Shortage"
82243;"2556KJ";25;"Low";"Packaging Issue"
23809;"7313XO";35;"Low";"Power Failure"
30164;"1192MZ";108;"Medium";"Sensor Fault"
53057;"7542TI";31;"Medium";"Cleaning"
25682;"2847NL";90;"Medium";"Maintenance"
84194;"9029AH";73;"Medium";"Sensor Fault"
56679;"1157EL";238;"High";"Maintenance"
13218;"8976MG";126;"High";"Sensor Fault"
48165;"2062BJ";10;"Low";"Machine Jam"
33614;"8950CR";255;"High";"Machine Jam"
51265;"6617VA";17;"Low";"Machine Jam"
25381;"7216JI";33;"Medium";"Maintenance"
62005;"5298CJ";21;"Low";"Packaging Issue"
38504;"8730BU";72;"Medium";"Material Shortage"
96071;"9373OT";85;"Medium";"Machine Jam"
48647;"4423EY";180;"High";"Sensor Fault"
91759;"2859CO";135;"High";"Machine Jam"
91800;"8102PJ";80;"Medium";"Maintenance"
93455;"2046MZ";98;"Medium";"Maintenance"
78158;"3729QA";16;"Low";"Machine Jam"
24701;"7616LW";97;"Medium";"Machine Jam"
79605;"9837GT";94;"Medium";"Packaging Issue"
83755;"8718NV";35;"Low";"Packaging Issue"
84074;"7777DX";91;"Medium";"Machine Jam"
66400;"4747BS";68;"Medium";"Machine Jam"
73625;"6896TV";78;"Medium";"Material Shortage"
24691;"5111PN";117;"Medium";"Machine Jam"
11502;"3959JS";38;"Medium";"Maintenance"
90947;"1831TY";68;"Medium";"Machine Jam"
77414;"9096HN";122;"High";"Cleaning"
89042;"7390CQ";11;"Low";"Material Shortage"
55480;"8176IC";43;"Medium";"Machine Jam"
13580;"5675JQ";109;"Medium";"Sensor Fault"
50986;"6824AH";158;"High";"Machine Jam"
65281;"8006NE";205;"High";"Power Failure"
78834;"1268HZ";51;"Medium";"Machine Jam"
20265;"1405KX";32;"Low";"Power Failure"
87883;"9154BW";85;"Medium";"Maintenance"
25347;"7192JK";74;"Medium";"Sensor Fault"
