Batch_id,Production_date,Product_ID,Production_line,Shift,Planned_output_kg,Actual_output_kg,Waste_kg,Operation_minutes
4289KN,01/07/2025,10004,Line 2,DS,1568.9,1486.1,86.3,462
2222HJ,26/09/2025,10015,Line 1,AS,1716.3,1576.7,154.8,383
5658OO,24/04/2025,10003,Line 1,NS,1305.3,1141.0,170.3,443
4194JY,10/09/2025,10008,Line 2,NS,2127.5,1868.6,278.1,393
8374VG,07/02/2025,10016,Line 2,NS,2083.9,2037.7,54.1,525
5966BX,03/03/2025,10005,Line 2,NS,2135.2,1859.3,288.1,393
2601LR,23/05/2025,10006,Line 1,AS,1686.7,1619.2,69.1,433
2644QU,04/08/2025,10004,Line 2,AS,2259.1,2187.2,80.0,384
9704UE,03/10/2025,10003,Line 1,AS,1553.7,1356.1,201.3,388
3150FY,05/05/2025,10002,Line 1,AS,2344.3,2151.5,196.9,540
3709KK,30/12/2025,10020,Line 2,AS,1792.0,1580.8,223.1,357
9760WV,05/06/2025,10012,Line 1,DS,2154.8,1921.2,251.2,421
1301MK,07/05/2025,10002,Line 1,DS,1558.6,1476.5,100.3,448
9610OT,02/03/2025,10001,Line 1,DS,2510.9,2360.3,162.7,339
6287RH,13/08/2025,10001,Line 1,NS,1930.0,1761.0,184.2,416
4128RM,09/04/2025,10008,Line 2,AS,2478.3,2290.8,190.5,462
8989GL,08/03/2025,10019,Line 3,NS,2111.3,1802.3,323.6,332
3112PW,18/11/2025,10007,Line 3,NS,1918.8,1785.7,143.5,474
7856SK,28/06/2025,10007,Line 3,NS,2318.8,2097.2,224.3,457
8244OP,27/04/2025,10001,Line 1,AS,1422.2,1359.1,70.7,357
7381WV,25/08/2025,10018,Line 1,AS,1694.8,1586.4,118.0,377
1549WV,11/01/2025,10016,Line 2,AS,804.5,784.4,26.7,460
1342XS,26/10/2025,10011,Line 2,AS,1511.3,1369.0,161.6,402
1964EP,06/12/2025,10002,Line 1,AS,1769.3,1540.8,242.5,411
9643MP,02/03/2025,10003,Line 1,DS,1713.4,1546.9,179.6,379
2118NA,13/08/2025,10020,Line 2,NS,1998.5,1839.1,168.3,371
1619XT,30/03/2025,10007,Line 3,AS,2361.1,2242.8,123.1,390
6525VZ,15/06/2025,10009,Line 1,AS,2061.6,2041.0,30.9,382
8158CT,18/01/2025,10007,Line 3,AS,1872.8,1761.9,111.6,343
6171YI,03/04/2025,10007,Line 3,AS,1779.7,1605.4,182.2,399
8393FI,06/04/2025,10019,Line 3,DS,1481.2,1421.3,61.7,330
8985QP,06/01/2025,10011,Line 2,NS,2005.7,1737.5,275.0,331
2305OX,12/09/2025,10020,Line 2,DS,1946.1,1823.0,129.6,538
8717UY,29/06/2025,10002,Line 1,AS,1642.0,1463.2,188.9,476
7135RL,05/08/2025,10005,Line 2,DS,2146.6,1956.3,202.1,399
5458QF,01/04/2025,10012,Line 1,DS,912.3,865.3,59.7,469
3340JL,10/11/2025,10009,Line 1,DS,1400.0,1248.7,156.7,480
6683EN,25/05/2025,10004,Line 2,AS,1694.2,1514.5,187.0,391
4055LS,11/12/2025,10012,Line 1,DS,2334.6,2203.7,149.6,460
6385HY,17/05/2025,10002,Line 1,NS,1524.4,1421.4,103.7,435
4032FZ,17/12/2025,10002,Line 1,AS,1918.7,1712.1,210.7,419
9284NL,07/09/2025,10001,Line 1,DS,1748.8,1704.9,61.9,381
9046HA,22/05/2025,10005,Line 2,NS,1596.2,1563.0,41.7,361
6375TJ,12/07/2025,10001,Line 1,NS,1131.0,1029.2,103.1,514
4112MO,28/08/2025,10002,Line 1,DS,1579.9,1419.6,170.0,480
6731HF,11/05/2025,10017,Line 3,AS,2507.8,2383.0,136.1,455
9402GR,17/11/2025,10001,Line 1,AS,1841.7,1706.9,145.7,381
4235YT,15/05/2025,10009,Line 1,AS,2173.8,2152.1,31.7,335
1673BS,31/01/2025,10002,Line 1,DS,1698.1,1451.0,255.0,438
8061YL,16/01/2025,10010,Line 3,DS,1321.8,1161.0,169.3,268
7542TI,03/05/2025,10016,Line 2,AS,2052.0,1862.6,189.8,426
5697WU,05/06/2025,10002,Line 1,AS,1574.3,1554.1,21.0,382
7758MP,01/02/2025,10009,Line 1,DS,1891.5,1807.4,90.2,489
7851LV,10/05/2025,10015,Line 1,DS,1929.3,1871.4,61.4,454
8475NA,26/09/2025,10003,Line 1,DS,1788.7,1657.6,140.0,410
9542DS,25/05/2025,10011,Line 2,DS,1800.6,1679.6,121.1,473
9537XD,13/05/2025,10012,Line 1,AS,2216.6,2163.8,60.8,350
5517NG,29/11/2025,10002,Line 1,DS,2150.1,1977.6,187.7,440
4348ZR,23/06/2025,10006,Line 1,DS,1848.6,1692.5,157.8,459
3298TX,26/05/2025,10005,Line 2,AS,1188.6,1103.1,89.0,557
6699KU,28/07/2025,10016,Line 2,DS,1705.8,1573.8,142.2,411
9749VF,18/01/2025,10012,Line 1,AS,1155.3,1143.7,31.4,507
4919RK,20/06/2025,10012,Line 1,AS,1940.2,1773.7,167.7,370
4925XC,05/11/2025,10001,Line 1,DS,2033.4,1842.3,202.4,466
7592DI,07/04/2025,10015,Line 1,NS,2205.2,2059.2,154.7,364
4083DY,06/05/2025,10003,Line 1,NS,1192.4,1131.2,61.9,402
8278AL,16/02/2025,10019,Line 3,AS,2041.7,1790.9,253.7,422
2395YV,29/06/2025,10007,Line 3,AS,1655.1,1446.3,217.7,553
8854DQ,09/02/2025,10002,Line 1,AS,2295.4,2146.9,152.5,448
3468FU,05/05/2025,10018,Line 1,AS,1884.0,1683.9,205.8,463
6147EB,23/03/2025,10006,Line 1,DS,2012.3,1921.5,106.7,485
4082XW,09/05/2025,10009,Line 1,DS,967.8,917.5,57.8,350
2752CT,12/11/2025,10004,Line 2,DS,2020.9,1947.2,75.5,463
9474GA,22/06/2025,10012,Line 1,DS,1952.5,1722.5,230.7,470
1888RC,07/06/2025,10005,Line 2,NS,1559.1,1467.3,105.2,508
8980UJ,30/03/2025,10003,Line 1,DS,1717.3,1612.6,107.4,449
2074XI,06/05/2025,10005,Line 2,AS,1254.5,1154.6,119.6,493
4239WZ,16/09/2025,10007,Line 3,DS,1939.4,1805.5,140.8,437
4376MC,03/11/2025,10011,Line 2,DS,2610.2,2577.1,33.8,422
8915ZQ,12/06/2025,10005,Line 2,NS,1941.7,1648.8,305.1,413
1812UP,08/08/2025,10005,Line 2,AS,1379.2,1251.1,129.5,440
9372ZB,14/08/2025,10010,Line 3,DS,1849.4,1651.4,211.0,357
6512ED,25/05/2025,10019,Line 3,NS,2153.3,2050.5,122.4,457
7899XW,26/09/2025,10016,Line 2,AS,1619.2,1533.8,102.4,468
2776RK,11/12/2025,10020,Line 2,DS,1621.9,1600.8,37.8,523
5935DU,01/04/2025,10017,Line 3,DS,1935.4,1799.9,138.3,361
2909AQ,09/08/2025,10001,Line 1,NS,2064.8,1970.0,103.8,505
7924TX,20/06/2025,10005,Line 2,AS,1709.3,1528.5,186.6,433
8667BT,26/11/2025,10002,Line 1,DS,1351.7,1196.2,175.2,393
4900OG,05/03/2025,10020,Line 2,DS,2084.7,1991.2,105.6,361
9095LX,16/06/2025,10009,Line 1,DS,1580.9,1565.1,34.9,381
5988DM,11/07/2025,10016,Line 2,DS,1820.0,1676.4,144.1,499
5164VL,11/04/2025,10007,Line 3,AS,1705.8,1643.1,69.1,366
9089TB,29/12/2025,10008,Line 2,NS,2216.6,1965.5,254.4,414
5587AD,15/11/2025,10016,Line 2,DS,2134.5,2017.1,119.0,333
9904MB,24/01/2025,10018,Line 1,AS,2537.9,2224.9,321.2,528
8628XO,26/09/2025,10016,Line 2,AS,1895.7,1817.4,90.6,554
3457PF,07/12/2025,10008,Line 2,AS,1883.8,1677.4,224.0,498
3284MR,10/10/2025,10015,Line 1,AS,1703.6,1546.7,157.0,448
2820XJ,01/02/2025,10011,Line 2,AS,2297.6,2139.9,166.1,492
4975QD,10/08/2025,10006,Line 1,NS,2263.5,2121.2,158.5,525
7122EV,19/06/2025,10012,Line 1,DS,1733.2,1695.2,44.3,512
6393PZ,15/10/2025,10001,Line 1,AS,1989.8,1790.6,205.9,320
4800HZ,26/01/2025,10020,Line 2,DS,1912.1,1749.7,167.7,440
7325HS,01/01/2025,10019,Line 3,DS,1841.6,1692.3,150.4,412
2135XW,05/01/2025,10002,Line 1,DS,2213.2,2056.6,158.0,300
7520KU,18/04/2025,10002,Line 1,NS,1577.4,1418.6,162.5,427
1055GW,09/10/2025,10014,Line 2,DS,1396.5,1349.9,62.5,397
5368DC,22/09/2025,10003,Line 1,NS,1547.3,1477.7,74.8,433
5673PP,05/12/2025,10020,Line 2,DS,1619.0,1488.5,146.6,287
4440OT,24/05/2025,10018,Line 1,DS,2282.8,2260.0,33.0,440
9568UK,26/01/2025,10003,Line 1,DS,2396.7,1974.9,424.6,508
7705WS,20/05/2025,10002,Line 1,DS,1320.4,1231.0,92.2,468
9101WX,10/10/2025,10015,Line 1,DS,1655.5,1502.5,155.8,499
4140QY,29/10/2025,10018,Line 1,AS,1683.0,1603.0,83.9,433
6698RP,19/10/2025,10001,Line 1,DS,1970.1,1825.0,164.8,452
8585AW,29/04/2025,10001,Line 1,DS,1707.0,1545.7,168.4,440
1567EL,17/07/2025,10002,Line 1,DS,1799.2,1682.8,135.1,419
9445XQ,22/03/2025,10001,Line 1,AS,1977.3,1770.7,216.5,483
2638TX,15/09/2025,10009,Line 1,NS,1480.4,1274.7,219.2,519
5488HW,19/07/2025,10020,Line 2,DS,2400.6,2060.0,360.2,372
2804YW,26/07/2025,10012,Line 1,AS,1487.8,1373.7,129.8,410
9492VA,03/05/2025,10001,Line 1,AS,1841.3,1822.9,27.6,461
7274UG,12/07/2025,10005,Line 2,DS,1737.7,1649.9,107.7,413
6240QS,01/01/2025,10001,Line 1,NS,1626.8,1526.3,103.2,411
6632SL,09/01/2025,10004,Line 2,AS,1609.2,1548.7,65.7,482
8787BV,03/03/2025,10010,Line 3,DS,1840.7,1653.4,202.8,429
5344KH,28/12/2025,10003,Line 1,DS,1731.1,1590.7,142.8,403
2446XZ,04/10/2025,10002,Line 1,DS,1624.3,1608.1,27.4,434
3478CI,24/12/2025,10010,Line 3,NS,1771.9,1754.2,35.5,532
6797UL,25/11/2025,10015,Line 1,AS,1450.1,1328.8,122.8,398
1740QX,03/03/2025,10009,Line 1,DS,2461.6,2178.2,286.1,376
6984YH,14/06/2025,10001,Line 1,AS,2160.4,1926.0,249.1,423
4576OR,13/10/2025,10006,Line 1,DS,1491.7,1476.8,33.8,484
6873WU,04/04/2025,10010,Line 3,DS,1628.5,1505.2,137.4,415
4489CA,08/05/2025,10002,Line 1,DS,1598.8,1544.9,54.3,412
2751AM,06/02/2025,10006,Line 1,DS,1746.5,1694.8,68.3,502
6665KZ,28/08/2025,10007,Line 3,DS,1911.4,1739.7,186.8,436
7652BV,31/07/2025,10004,Line 2,DS,1981.0,1728.4,262.6,505
6930AR,04/09/2025,10012,Line 1,DS,1367.9,1309.0,68.0,401
7494DF,15/01/2025,10018,Line 1,DS,1458.6,1363.9,100.3,424
1394JY,10/07/2025,10010,Line 3,AS,1741.2,1619.2,131.4,530
7553JW,05/08/2025,10010,Line 3,DS,1555.1,1412.0,145.5,441
2089ZW,05-11-2025,10001,Line 1,DS,1319.6,1281.9,48.0,484
7205FO,07/08/2025,10006,Line 1,NS,1850.8,1715.8,154.0,472
4194KJ,13/09/2025,10010,Line 3,AS,1694.0,1474.5,232.1,474
5619UX,11/05/2025,10019,Line 3,DS,1694.3,1557.7,137.9,387
4774OK,06/02/2025,10009,Line 1,DS,1653.1,1477.3,177.4,426
2826UG,27/04/2025,10009,Line 1,DS,1890.0,1848.9,55.4,422
5242VD,16/12/2025,10008,Line 2,AS,1551.6,1392.8,161.1,351
3508GS,30/06/2025,10007,Line 3,DS,1395.1,1324.7,79.6,451
1905OG,11/12/2025,10004,Line 2,DS,1405.2,1331.9,86.0,383
8351AD,20/01/2025,10003,Line 1,DS,2320.7,2224.3,98.9,450
9099YF,09/04/2025,10003,Line 1,DS,1349.2,1190.6,177.4,492
4345UE,20/10/2025,10002,Line 1,DS,1747.0,1621.1,143.8,464
8493RC,23/05/2025,10010,Line 3,AS,1842.7,1771.6,77.7,557
9412KS,27/08/2025,10001,Line 1,DS,1881.8,1863.0,25.1,418
9364CS,29/05/2025,10020,Line 2,DS,1570.1,1423.9,152.6,483
1068CW,06/10/2025,10007,Line 3,AS,1888.4,1792.0,99.4,435
7968PR,27/05/2025,10010,Line 3,DS,1984.8,1682.4,311.3,396
7680FK,12/04/2025,10001,Line 1,AS,1675.2,1440.3,247.9,394
6948WF,25/04/2025,10020,Line 2,AS,1664.5,1590.9,85.8,517
2844NZ,31/05/2025,10001,Line 1,AS,1799.8,1737.2,76.1,369
5890PW,13/08/2025,10007,Line 3,AS,2047.9,1950.3,110.5,454
5122FS,18/03/2025,10009,Line 1,DS,1587.8,1470.9,131.7,486
3815VN,30/01/2025,10003,Line 1,AS,2238.0,2215.6,38.3,364
1472TA,07/08/2025,10015,Line 1,DS,1553.9,1467.6,96.0,533
4211CL,10/08/2025,10001,Line 1,DS,2183.8,1855.3,338.6,377
5166EU,26/06/2025,10012,Line 1,AS,1533.7,1442.7,110.3,405
8996XX,15/03/2025,10019,Line 3,DS,2040.3,1973.2,72.0,502
4725OU,03/10/2025,10008,Line 2,DS,2079.9,1920.6,174.3,442
9770EO,10/12/2025,10007,Line 3,AS,1731.8,1497.8,241.0,346
2436OM,05/02/2025,10018,Line 1,DS,1905.3,1770.9,137.0,386
6742AK,04/10/2025,10006,Line 1,DS,2201.5,2063.7,153.8,377
2951IF,11/04/2025,10020,Line 2,DS,2385.0,2247.2,145.1,392
1546HB,22/09/2025,10004,Line 2,DS,2198.7,2039.3,165.4,301
5388KQ,26/05/2025,10012,Line 1,DS,1614.9,1431.5,201.3,352
1967SH,29/08/2025,10003,Line 1,AS,1931.6,1744.7,201.3,365
3652NT,14/05/2025,10018,Line 1,AS,2097.7,1956.5,151.2,423
3552XP,15/03/2025,10004,Line 2,NS,1638.1,1533.1,107.0,449
6639UY,10/07/2025,10011,Line 2,AS,1905.0,1766.2,143.3,347
4639TO,04/04/2025,10007,Line 3,AS,1247.7,1160.6,101.8,354
9581DJ,14/03/2025,10017,Line 3,AS,1826.3,1717.9,117.1,397
4524LJ,04/01/2025,10007,Line 3,AS,1482.7,1467.9,22.6,435
7721KO,12/02/2025,10004,Line 2,NS,2020.5,1911.0,117.3,437
8332HB,11/10/2025,10007,Line 3,AS,1762.4,1581.3,182.2,447
3885VZ,02/12/2025,10001,Line 1,AS,1821.5,1696.8,136.5,439
2508JQ,15/11/2025,10005,Line 2,NS,1958.0,1878.3,99.2,445
6985CD,01/03/2025,10003,Line 1,AS,2076.9,1890.3,198.5,341
6178OC,06/01/2025,10003,Line 1,NS,2317.4,1954.8,366.8,389
8402BM,12/08/2025,10008,Line 2,NS,1415.5,1360.4,71.4,352
9430NW,30/03/2025,10006,Line 1,DS,1297.6,1284.6,14.7,430
7043ZO,13/02/2025,10001,Line 1,AS,2484.7,2170.1,316.7,395
5717RL,06/04/2025,10001,Line 1,AS,2063.5,1928.4,149.5,515
7393BQ,27/05/2025,10019,Line 3,AS,1440.1,1305.0,140.0,439
8368SG,13/08/2025,10010,Line 3,AS,2035.5,1854.2,181.8,493
9193IX,27/09/2025,10009,Line 1,DS,1851.6,1812.2,39.7,421
9431JH,22/12/2025,10016,Line 2,DS,2165.5,2033.2,146.9,465
9498WK,02/02/2025,10006,Line 1,DS,1036.6,1013.1,35.9,419
8805WX,04/03/2025,10009,Line 1,AS,2283.8,2077.3,214.2,394
5048WT,15/02/2025,10010,Line 3,AS,2181.4,1978.0,207.3,410
5515BG,08/12/2025,10004,Line 2,DS,2109.0,2028.7,85.0,425
6201VR,16/01/2025,10003,Line 1,NS,1445.7,1280.0,166.1,471
5125GS,27/10/2025,10008,Line 2,AS,2073.3,2003.0,79.7,415
7195DG,05/07/2025,10002,Line 1,NS,1729.4,1625.3,109.3,480
8147YV,10/08/2025,10007,Line 3,DS,1573.1,1439.4,151.8,407
6243ZA,04/07/2025,10014,Line 2,DS,1406.8,1179.3,234.8,335
2735IN,06/02/2025,10002,Line 1,DS,1979.7,1890.5,108.0,362
3510KU,28/06/2025,10004,Line 2,DS,1835.2,1767.5,73.4,436
3558BC,21/03/2025,10008,Line 2,DS,2090.2,1896.0,202.8,409
1468XY,11/05/2025,10018,Line 1,DS,1434.2,1306.5,127.8,323
4454LD,13/04/2025,10017,Line 3,AS,1721.0,1637.3,102.8,470
4365DC,11/10/2025,10010,Line 3,DS,1943.1,1765.8,190.2,440
9971RO,08/03/2025,10002,Line 1,DS,1306.0,1121.6,188.6,346
4605HU,08/12/2025,10004,Line 2,DS,1863.6,1819.5,61.4,368
9147NB,01/01/2025,10019,Line 3,AS,1516.2,1425.7,101.3,362
4879TE,04/11/2025,10003,Line 1,DS,1510.5,1429.4,88.9,387
2615CZ,27/06/2025,10006,Line 1,NS,1646.3,1521.4,139.9,518
4889NI,29/11/2025,10013,Line 3,AS,1316.1,1227.9,104.9,385
5809ZQ,21/12/2025,10001,Line 1,DS,2101.3,1810.5,298.7,367
3478RN,26/11/2025,10004,Line 2,NS,2512.3,2297.4,229.9,458
5839GC,22/12/2025,10004,Line 2,AS,1774.8,1685.4,92.5,469
6721OB,15/02/2025,10002,Line 1,AS,1553.1,1428.4,140.3,446
3555SE,15/09/2025,10011,Line 2,DS,1830.9,1727.3,112.5,290
8487DN,11/06/2025,10020,Line 2,AS,1999.9,1979.9,39.0,400
1641RP,17/03/2025,10006,Line 1,DS,2050.1,1772.3,288.8,443
1124HI,02/06/2025,10005,Line 2,DS,1539.0,1449.7,95.9,456
1639XF,18/01/2025,10002,Line 1,DS,1351.0,1239.3,117.1,400
2927LF,22/05/2025,10009,Line 1,AS,1754.7,1559.7,199.5,409
7983HP,02/01/2025,10016,Line 2,AS,2117.7,1986.6,132.3,419
8074NC,19/11/2025,10007,Line 3,DS,2065.1,2018.1,66.1,413
5050KP,11/04/2025,10004,Line 2,DS,2174.8,1927.4,249.1,343
9707ZE,18/01/2025,10013,Line 3,DS,2051.3,1866.1,195.1,464
8514LA,22/06/2025,10005,Line 2,DS,1547.6,1443.6,122.0,511
4576LE,09/09/2025,10001,Line 1,DS,1455.6,1354.4,105.8,524
7282JB,31/03/2025,10010,Line 3,DS,2008.1,1715.2,304.4,454
3095SM,16/08/2025,10020,Line 2,AS,2070.4,2032.6,46.7,490
4933UG,20/11/2025,10007,Line 3,DS,2694.8,2654.8,57.4,508
6225CZ,18/07/2025,10007,Line 3,AS,1659.2,1494.3,183.2,486
9029AH,28/07/2025,10014,Line 2,DS,1734.3,1597.7,155.8,375
3226AT,12/06/2025,10020,Line 2,AS,1461.3,1292.5,175.6,350
9443OX,23/03/2025,10006,Line 1,DS,1486.4,1341.3,161.7,391
7248DF,27/09/2025,10019,Line 3,AS,1572.2,1437.5,140.4,434
6020QV,19/04/2025,10020,Line 2,NS,964.8,955.2,15.6,351
3122HV,14/01/2025,10012,Line 1,DS,2009.2,1989.1,28.3,461
9411FP,25/12/2025,10015,Line 1,AS,1446.8,1431.4,23.2,440
4868AQ,09/03/2025,10016,Line 2,DS,1237.9,1061.9,182.4,428
3216LD,17/01/2025,10013,Line 3,DS,1529.8,1436.1,108.7,318
7397PN,21/03/2025,10015,Line 1,DS,1436.8,1351.5,102.3,505
2562MU,04/09/2025,10001,Line 1,DS,1728.9,1520.7,208.6,497
7228WI,24/12/2025,10001,Line 1,AS,2191.1,2035.6,158.8,395
3013RU,25/06/2025,10009,Line 1,DS,1489.6,1474.7,24.1,479
3191XT,10/05/2025,10006,Line 1,AS,1869.0,1778.9,110.0,416
4010WV,12/11/2025,10007,Line 3,DS,1585.7,1538.7,66.8,471
4260SD,13/11/2025,10007,Line 3,AS,1498.4,1410.7,92.6,457
9701SS,29/05/2025,10004,Line 2,AS,1435.7,1335.5,113.4,424
6362GL,02/09/2025,10004,Line 2,DS,2066.6,2029.4,41.6,409
8648SJ,12/06/2025,10003,Line 1,NS,1619.5,1493.9,141.6,394
5033DH,11/01/2025,10006,Line 1,DS,1699.9,1612.2,104.2,378
2021LB,29/08/2025,10003,Line 1,AS,2534.2,2442.3,95.2,406
7009QX,25/11/2025,10005,Line 2,DS,2116.4,2039.7,95.1,413
5370CS,18/11/2025,10007,Line 3,DS,2301.5,2140.9,168.7,398
4199CQ,31/05/2025,10009,Line 1,NS,1970.8,1826.2,159.7,387
6515QD,16/10/2025,10013,Line 3,DS,1651.9,1540.6,131.1,412
7344GU,27/07/2025,10019,Line 3,DS,2045.2,1798.1,262.4,334
7549JE,18/06/2025,10017,Line 3,AS,2074.9,1927.3,165.6,511
5325TT,28/04/2025,10002,Line 1,DS,1692.6,1611.1,86.0,444
7238ST,25/10/2025,10007,Line 3,DS,1789.0,1718.9,74.9,432
2391AJ,16/12/2025,10004,Line 2,NS,1674.7,1501.5,191.6,391
1034FE,08/10/2025,10014,Line 2,NS,2395.8,2086.5,312.2,416
5362XQ,06/04/2025,10008,Line 2,DS,1441.7,1343.2,101.4,497
2847NH,09/02/2025,10012,Line 1,AS,1653.0,1636.5,17.1,446
6923II,20/10/2025,10015,Line 1,DS,2409.9,2385.8,32.5,413
5751ND,30/03/2025,10002,Line 1,AS,1818.5,1651.7,173.3,384
1764MN,16/12/2025,10007,Line 3,NS,2369.9,2179.8,194.8,361
5379TW,01/07/2025,10007,Line 3,DS,1844.1,1728.1,132.2,431
4900BZ,02/03/2025,10017,Line 3,AS,2053.3,1925.2,145.8,450
6307PI,21/01/2025,10009,Line 1,DS,1591.2,1383.1,210.8,431
3599GA,21/10/2025,10009,Line 1,AS,1627.0,1533.3,109.8,421
7195MR,04/02/2025,10006,Line 1,DS,1903.2,1857.7,63.6,481
1146HU,02/09/2025,10010,Line 3,AS,1947.2,1774.9,172.4,374
4554YB,15/06/2025,10001,Line 1,NS,1806.8,1691.8,116.7,338
5125ML,19/05/2025,10009,Line 1,DS,1239.9,1144.6,101.9,347
2422MM,17/12/2025,10002,Line 1,AS,1746.3,1573.2,181.2,475
5162VQ,13/06/2025,10020,Line 2,DS,2251.1,2190.0,73.0,467
1432MT,24/05/2025,10008,Line 2,AS,1571.6,1410.9,166.2,466
3710VY,05/02/2025,10014,Line 2,AS,2008.2,1688.7,330.4,496
3998MZ,10/04/2025,10010,Line 3,DS,1708.4,1657.9,60.7,347
4509UF,29/01/2025,10003,Line 1,NS,1800.6,1706.2,105.7,511
3040JD,23/06/2025,10005,Line 2,AS,1623.2,1489.2,141.7,435
7320UN,27/09/2025,10003,Line 1,DS,1610.4,1488.9,124.7,452
5673DI,09/02/2025,10010,Line 3,DS,1719.8,1608.5,112.9,268
2631DQ,02/10/2025,10007,Line 3,NS,1731.7,1561.5,178.2,388
1560VY,10/02/2025,10012,Line 1,AS,1524.0,1372.3,162.2,395
7563JL,24/08/2025,10012,Line 1,NS,1736.8,1631.0,122.5,501
9585NI,22/06/2025,10010,Line 3,DS,1969.6,1727.2,256.5,368
8292NM,16/11/2025,10015,Line 1,DS,2085.9,1858.1,233.1,536
9613WJ,18/04/2025,10001,Line 1,AS,2150.5,1967.6,187.6,508
8615NH,19/09/2025,10011,Line 2,DS,1633.5,1526.0,124.4,325
2487CF,03/02/2025,10008,Line 2,DS,2051.2,2025.3,39.5,386
3887FR,17/01/2025,10005,Line 2,DS,1404.6,1295.3,128.3,425
2590FF,12/01/2025,10001,Line 1,DS,2079.1,2028.8,62.4,386
8003XS,08/10/2025,10007,Line 3,DS,1759.1,1643.1,130.7,390
3786YY,05/07/2025,10003,Line 1,NS,1939.7,1870.5,84.3,439
